text,emoji,discovered
Gin Witcherette,🍸,True
Aedelgekia-witchnympho Dyson Witcher,🧙‍♀️,True
Dagmar Zinders,🤷‍♀️,True
Dagmarsaur,🦕,True
Gryla-witchette,🧙‍♀️,True
Rhea-witcha Zinderphelia,🧙‍♀️,True
Gretel Shelobot,🤖,True
Witcher 5,🗡️,False
Gryffinita Voodoo,🧙‍♀️,True
Witcha-saurus,🦖,True
Cliberyle Sheryl,🤔,True
Rhea The Witchosauratronix,🦖,True
Eunice Zinder,🤷‍♀️,True
Shelob Nessie,🕷️🐉,True
Witchshakefest,🧙‍♀️🎉,True
Gorditrix Hermione,🤖,True
Darth Nessie,🐲,False
Faunlinde Zinder,🤔,True
Witcher 2: Sherrif,🧙‍♂️,True
Aeva-witcher Priestess,🧙‍♀️,True
Nympho-saurus,🦖,False
Carrie Witcher,🧙‍♀️,True
Aeva-witcher Zinderatronix,🧙‍♀️🤖,True
Cedelwoman Gordita Witcher,🧙‍♂️,True
Ginza Sheriff,👮‍♂️,True
Witchshakeboarding,🧙‍♀️🏄,True
Hexa Maidon,🤖,True
Witcher Aeva,🧙‍♀️,True
Nauti-witchator,🧙‍♀️,True
Dedma Ginrose,🤔,True
Psychic-nympho-witcherator,🔮🧚‍♀️,True
Chia Wicca Witchosaur,🌿🔮🦖,True
Witcher Rhea,🧙‍♀️,True
Hexa Witcher Zinder,🧙‍♂️,True
Ginza-witchplane,🧙‍♀️✈️,True
Kanna Clibertea Witcher Trixie,🧙‍♀️,True
Nun Diva,💃,True
Witcher Witcher Witcher,🧙‍♂️,True
Chergilla Witchermaid,🧙‍♀️,True
Ginemon Mame Dyson,🤔,True
Aedelkale Wicca,🔮,True
Witcherosaurphelia,🧙‍♀️🦖,True
Dagmar Grýla,🤔,True
Arceegirl Dyson Witchshake,🧙‍♀️,True
Witcherphelia Witchosauratronix,🧙‍♂️,True
Ginza-witcher Zinder,🧙‍♂️,True
Witcher-tron,🧙‍♂️,True
Gryla-Rhea-witcha,🧙‍♀️,True
Aedielphelia,🤔,True
Nauti-witchdoctorphelia Zinder,🧙‍♀️,True
Dyson Witcher 3,🧹🎮,True
Dedma Gekrisna,🤔,True
Aeva-witcher Priestess Zinder,🧙‍♀️,True
Witcher Mom,🧙‍♀️,True
Kaley Grýla,🤔,True
Delfreah-witchplane,🧙‍♀️,True
Momove Witcherphelia,🧙‍♀️,True
Ginstress Wicca Zinder,🧙‍♀️,True
Ewok Hermione Granger,🐻🧙‍♀️,False
Cinderellade Witcher,🧙‍♂️,True
Ms. Spinker,🕷️,True
Poison Witch,🧙‍♀️,False
Gin Rowan Diva,🍸,True
Mistress of the Sea,🧜‍♀️,False
Hag Nebulonia,🧙‍♀️,True
Dagmara,👋,False
Aeva-witcher Hansel,🧙‍♀️,True
Aeva Witcher Zinder,🧙‍♀️,True
Kiki Witcher,🧙‍♀️,True
Witcher Shelobia,🧙‍♀️,True
Nauti-witcher,🧜‍♀️🧙,True
Darla Zinder,🤷‍♀️,True
Aedelkale Witchshake,🧙‍♀️,True
Cress-helga Trixie,🤔,True
Emberphelia Witchosaur,🔥🧙‍♀️,True
Covenstay,🧙‍♀️,True
Briseida-witchplane,🧙‍♀️✈️,True
Kaley Clibertea Witcher Trixie,🧙‍♀️,True
Brisma Witcherphelia,🧙‍♀️,True
Brisma Sheryl Delfreah-witcha,🧙‍♀️,True
Kanna Witcher 4,🧙‍♀️,True
Witchatron Ent-mother,🧙‍♀️🦗,True
Rhea Shelobot,🤖,True
Briseida Wicca,🧙‍♀️,True
Aeva Wicca,🔮,True
Dame Ginnessie Spink,🍸,True
Mrs. Puff Witcher,🧙‍♀️,True
Ginza-witcha Zinder,🧙‍♀️,True
Coven Ginza Witchatron,🧙‍♀️,True
Gryla Witchosaur,🧙‍♀️🦖,True
Tamiya The Witchator,🧙‍♀️,True
Geysera Witcher Zinder,🧙‍♂️,True
Demon Zinfandel Witchatron,🍷,True
Ginstress Dagmar,🧘‍♀️,True
Ginjanewfie,🍸,True
Cressida Witcha-Gryla-witcha,🧙‍♀️,True
Cressida Witcherella Nessie,🧙‍♀️🐉,True
Witchosaurmaiden,🧙‍♀️🦖,True
Briseida Pesto,🤔,True
Witcher 6,🗡️,False
Ginvera Witchatron,🧙‍♀️,True
Kanna Clibertea Witcheroween,🧙‍♀️,True
Aeva-witcher Mom,🧙‍♀️,True
Brisma Witcha,🧙‍♀️,True
Cressida Ciri,🤖,True
Mrs. Puff Witcher Harpy,🧙‍♀️,True
Dedma Koi,🤷‍♂️,True
Ginza Witchatron,🧙‍♀️,True
Dyson Ivy Witcher Zinder,🧹,True
Nauti-witchator Jane,🧙‍♀️,True
Bambi Witcherella,🦌🧙‍♀️,True
Ginzel Zinder,🤖,True
Nauti-witcher 3,🧙‍♂️,True
Witcherphelia Witchshake,🧙‍♀️🥤,True
Cressida Witchosaur,🧙‍♀️,True
Harpy Lady,🦅,False
Ginza-witcher Rhea,🧙‍♀️,True
Nauti-witchdoctor 4,🔮,True
Cedelwoman Nyong'o,👩‍🦱,True
Witchoweenfest,🧙‍♀️🎃,True
"Shelob Yonah, The Witcher",🕷️🐺,True
Jane Rhea-witcha,🧙‍♀️,True
Faunmom,🦌,False
Witchdoctor Nessie,🧙‍♀️,True
Ghost Cow,👻,False
Janewfie Zinderator,🤔,True
Ginvera Witcherween,🧙‍♀️🎃,True
Witchatorween,🧙‍♀️🎃,True
Geysera Witchosaur 4,🦖,True
Bockelwife Gretel-nado,🤔,True
Cedelwoman Nessie,🦕,True
Aloe Witcher,🌿🧙‍♂,True
Witcherladyphelia,🧙‍♀️,True
Eiselphelia,🧜‍♀️,True
Dagmars Witcher,🧙‍♂️,True
Dameur Witcherellaplane,⌚🧙‍♀️,True
Euryale Witcherator,🧙‍♀️,True
Brisma Nympho,🤔,True
Ginzamermaid Witcher,🧜‍♀️🧙,True
Choo-princess Wicca,🚂👸🔮,True
Ms. Frizzle,🚌,False
Garkmaid Emberphelia,🤖,True
Dyson Witcher 4,🧹🎮,True
Medusa Witcher,🐍,True
Honey Puff-witcherette,🍯🧙‍♀️,True
Cressida Witcherween,🧙‍♀️,True
Euryale Witchshake Zinder,🧙‍♀️,True
Dqmistress Elsa,❄️,True
Brisma-witcher 2: Sherrif,🧙‍♂️,True
Witcherette Trixie,🧙‍♀️,True
Voodoo-tron,🤖,False
Witcher-tron Witchshake,🧙‍♂️,True
Witcher Tamiya,🧙‍♂️,True
Dagmummia,🤔,True
Witcher Diva,🧙‍♂️,True
Balsamic Witch,🧙‍♀️,False
Swapper,🔄,False
Ant Snapper,🐜📸,False
Brontosnapper,🦕,False
Blackened Snapper,🐟,False
Balsamic Snapper,🐟,True
Chainsaw Fish,🐟🪚,False
Cedar Plank Snapper,🐟,False
Cheese Snapper,🧀📸,False
Chia Snapper,🐟,False
Chocolate Snapper,🍫🐟,False
Coconut Snapper,🥥🐟,False
Lama Snapper,🦙,False
Cursnapper,🐍,False
Ecosnapper,📸,False
Dusty Snapper,🤔,False
Snap Flop,👎,False
Pelican Snapper,🦭,False
Snapenstein,👻,False
Giant Snapper,🐢,False
Google Snapper,🐢,False
Gnome Snapper,📸,False
HeidiSnapper,📸,False
Hot Snapper,🔥🐟,False
Holy Snapper,🐢,True
Jacksnap,🤴🏼,False
Iron Snapper,🐟,False
Mecha Snapper,🤖,False
Monkey Snapper,🐒🐢,False
Mr. Potato Snapper,🥔,False
Mt. Snapperest,🏔️,False
Peking Snapper,🐟,False
Parasnapper,🐟,False
Pineapple Snapper,🍍🐟,False
Snap Judgement,🤔,False
Robo-Snapper,🤖🐊,False
Surgeonfish,🐠,False
Lowrider,🚙,False
Mountain Snoop,🏔️🐶,False
Snoop Lotus,🌿,False
Snoogle,🐶,False
Grand Snoop,🕵️‍♂️,False
Dogg Pound,🐶,False
Apple Snoop,🍎🕵️‍,False
Ant Snoop,🐜,False
Banana Splits,🍌,False
Baby Snoop,👶,False
Snoop Doggy Dog,🐶,False
Pelican Snoop,🦜,False
Glassop,🔍,False
Gnome Snoop,🧝‍♂️,False
Honeysnoop,🍯🔍,False
Iron Snoop,🤖,False
Katdog,🐱🐶,False
Mrs. Dogg,🐶,False
Mecha Snoop,🤖🐶,False
Mount Snoop,🏔️,False
Pickle Snoop,🥒🕺,False
Popcorn Snoop,🍿,False
Rocky Mountain Snoop,🏔️🕵️‍,False
Salmon Snoop,🐟🕵️‍,False
Sand Snoop,🏜️,False
Shrimp Dogg,🐾,False
Smoky Mountain Snoop,🏔️🕵️‍,True
Snot Cone,🍧,False
Vapor Cone,💨🌪️,False
Doom Cone,🌋,False
Electric Snow Cone,⚡️❄️🍧,False
Fire Breathing Snow Cone,🍧🔥,False
Googlecone,🍦,False
Fruit Cone,🍦,False
Bloody Snow Cone,🍧🩸,False
Krill Cone,🦐🍦,False
Prince Cone,🍦,False
Pharaoh Cone,🥨,False
Snow Race,❄️🏁,False
Boob,🍈,False
Snake Cone,🐍,False
Snow Titanado,❄️,False
Bacon Snow Cone,🍦,False
Apple Snow Cone,🍎❄️🍧,False
Vinegar Snow Cone,🤢,False
Battle Cone,⚔️,False
Snow Bodhi,❄️🌲🧘,False
Cheese Cone,🧀,False
Clean Snow Cone,🍧,False
Snow Condor,🦃,False
Dragon Snow Cone,🍧🐉,False
Drunken Snowman,🍺⛄️,False
Ice Fox,🦊,False
Garbage Cone,🗑️,False
Holy Snow Cone,❄️,False
L.A. Snow Cone,❄️,False
Mars Cone,🍦🚀,False
Snow Martini,🍸,False
Mountain Dew Snow Cone,❄️,False
Mt. Shasta,⛰️,False
Yellow Snow Cone,🍧,False
Peasoupcone,🍦,False
Pork Chop Snow Cone,🍖🍧,False
Pope Cone,🍦👑,False
Punch Cone,🥊🍦,False
Rhea Cone,🍦,False
Sand Cone,🏖️,False
Salsa Cone,🌮,False
Self-Coned,🍦,False
Smoky Mountain Snow Cone,🍧,False
Snow Planet,❄️,False
Muddy Snow Globe,🌨️🌫️❄️,False
