first,second,result
Data Nexus,Jsp-sub,Jsp-sub
Javapq,Jsp-type64,Jsp-type64
Subroutine,Aiqwiprobot,Aiqwiprobot
Ywii,Chip Data,Nothing
Aiqwipro64,Jsp-lab,Aiqwipro64
Ai64J,Jsp-bot,Nothing
Emotam,Type,Emoticon
Gizmodata,PowerPoint,Gizmodata
Projector,Mimic,Shadow
Cliopad,Aiqwipro64,Aiqwipro64
CG,Design,Nothing
Scan,Type,Barcode
Cqemotar,Cernware64,Cernware64
Aicubot Protogem,Datalab,Aicubot
Workpad,Jsp-sysyent,Jsp-sysyent
Mecha Emotam,Aiqwiprobot,Aiqwiprobot
Chipwarex,Data Sup,Nothing
Test Type,Data Labs,Experiment
Data Qr Pad,Subsystem,Data Qr Pad
Kanji,Jspfont,Japanese
Chipdec,Mechapad,Chipdec
Kinect Database,Console,Xbox One
Dataframe,Gizmoprogem,Dataframe
Chipadbot R,Pdfadmin,Chipadbot
Chip64,Labs,Chip65
Cqlabpad,Typo,Cqlabpad
Gizmon64QR,Cqpads,Nothing
Cernpad,Aiqwicon,Aiqwicon
Jsp-mod,Gizmodoc,Gizmodo
Cqgadget,Kinect Sysyent,Kinect Gadget
Testware,Chipcom,Chipware
Javadamp,Kinectmod,Javadamp
Cqgadget,Labs,Nothing
Kinect Ui,Cj-programmer,Kinect Programmer
Data Entry,AiChiPad,Nothing
Skim Lab,Aignu Labs,Aignu Skim Labs
Ai64Qr,Fontlab,Nothing
Oss-type,B-Data Lab,Nothing
Data Synaxis,Model,Data Model
AiPad,Cj-aipad,Aipad
Fontinator,Borg,Font
Icons,Embedded Data,Emoticons
Aidevpad,Fontwork,Aidevpad
Gizmoclinator,Qr-bot,Gizmoclinator
Aicubot Data,Workpad,Aicubot
Sublarp,Craftory,Nothing
Cpuelfix,Designpad,Nothing
Aipad Imech,Javapro,Javapad
Datamine,Skimware,Dataware
Styling,Kinect Mechapad,Nothing
Computer Chip,Clonefix,Robot
Ui-chip,AiCliow64,Nothing
Jsp-sysyent,Oni-Sysyent,Nothing
Data Lab Os,Optimist,Oso
Macross,Datacraft,Macross
Sysdame,Emotar,Emotar
Aipomdoc64,Jsp-model,Jsp-model
Data Sup,Kinectify,Kinect
Font,Ptrixchip,Ptrixchip
Gadget,Data Product,Computer
Script,Data Tree,Program
Cpuelfix,Data Sup,Nothing
Cj-chip,Aiqwicon,Aiqwicon
Jspqr Font,Gene,Genesplicer
Styling,Emulatem,Emulation
Shear,Embedded,Shard
Data Tank,Typing,Tank Typing
Test Type,Chipwarelf,Chipwarelf
Chipwarelf,Javapqr,Chipwarelf
Data Projector,Data Lab,Data Projector
Output,Jsp-data,Jsp-out
Cq Data,Chipadbot M,Chipadbot MC
C-Chip,Optimist,Nothing
Font,Aiqwipad,Aiqwipad
Qr Skimware,Aipadcq,Aipadcq
MechaP,Scanner,Nothing
Gizmomimic,C-Scan,Nothing
Mecha Hackula,Mqsysyent,Nothing
AQR-chip,Cj-module,Nothing
Chipdec Focus,Cj-programmer,Chipdec
Vwii,Cum,Vwii
Kinectware,Plot,Kinect
Dosbox,Data Type,Dosbox
Data-type,Mimic,Copy
Fontware,Data Qr,Qr Code
Gizmomimic,Cj-oss,Cj-ossmimic
Chipware,Emotank,Chip
Ui-chip,Infotainment,Ui-chip
Gear,Embedware,Cog
Mechapede,Aidev-js,Aidev-js
Jsp-type,Chipdecwrc,Chipdecwrc
Macvw,Develop,Macaw
Aecom Data Lab,Ielfrex,Aecom Data Lab
Projector,Java,Movie
Jsp-sysyent,AiCraycom64,Nothing
CPU,AQR-chip,Nothing
Programming,C-Data,Nothing
JavaPQR,Processor,Java
Subtype,Kinect Tool,Kinect Tool
Sosyterm,Designpad,Sosyterm
Workpad,Gizmodoc,Gizmodo
Aicubot64,Chip Panel,Aicubot64
Styling,3dtypingc,3dtypingc
