first,second,result
Fanboy,Weather,Storm
Fanboy,Winery,Wine
Fanboy,420,420blazeit
Fanboy,Alps,Alpaca
Fanboy,Amazon,Kindle
Fanboy,Amoeba,Fanboy
Fanboy,Apple Pie,Fanboy
Fanboy,Balsamic Vinegar,Nothing
Fanboy,Bait,Troll
Fanboy,Battleship,Nerd
Fanboy,Aspirin,Fanpirin
Fanboy,Bacteria,Fanbacteria
Fanboy,Beach House,Fanboy
Fanboy,Bear,Yogscast
Fanboy,Beehive,Fan
Fanboy,Big Bang,Star Wars
Fanboy,Blowout,Fanboy
Fanboy,Boiling Frog,Frogboy
Fanboy,Bonsai,Fan
Fanboy,Bookshelf,Nerd
Fanboy,Bottle Rocket,Fanboy
Fanboy,Brew,Beer
Fanboy,Bullet,Fangirl
Fanboy,Broken,Fan
Fanboy,Broomstick,Harry Potter
Fanboy,Brandy,Fanbrandy
Fanboy,Camera,Selfie
Fanboy,Canoe,Kayak
Fanboy,Carbon,Carbonite
Fanboy,Carnivore,T-Rex
Fanboy,Cannabis,Stoner
Fanboy,Carrot,Fanart
Fanboy,Cave,Batman
Fanboy,Champagne,Fanboy
Fanboy,Charcoal,Fire
Fanboy,Christmas,Nerd
Fanboy,Choo Choo,Train
Fanboy,Chia,Chia Pet
Fanboy,Chariot,Fanboy
Fanboy,Cider,Apple
Fanboy,Cigar Box,Smoke
Fanboy,Cinderella,Stalker
Fanboy,Cleaner,Fan
Fanboy,City,Comic-Con
Fanboy,Clockwork,Steampunk
Fanboy,Cloud Station,Cloud
Fanboy,Clouds,Fan
Fanboy,Color,Fanart
Fanboy,Colored Pencil,Fanart
Fanboy,Crop Circle,Alien
Fanboy,Confetti,Fan
Fanboy,Curiosity,Fanfic
Fanboy,Compass,Nerd
Fanboy,Dandelion Tea,Fanboy
Fanboy,Devil,Fanboy
Fanboy,Dead Sea,Deadpool
Fanboy,Drain,Drainboy
Fanboy,Dough,Breadboy
Fanboy,Drink,Alcoholic
Fanboy,Duck and Cover,Nerd
Fanboy,Duckling,Fanling
Fanboy,Duckweed,Duck
Fanboy,Dump Truck,Fan Truck
Fanboy,Dust Trap,Dust Bunny
Fanboy,Egg,Pokemon
Fanboy,Egypt,Pharaoh
Fanboy,Dwarf,Gimli
Fanboy,Everest,Mount Everest
Fanboy,Enlightenment,Fanboy
Fanboy,Eyjafjallajökull,Eyjafjallajökullalalalalalalalalalalal
Engine,Farmer,Tractor
Island,Farmer,Turtle
Farmer,Tree,Apple
Farmer,Rain,Crop
Rock,Farmer,Stone
Fanboy,Eagle,Fanman
Sea,Farmer,Fisherman
Soil,Farmer,Plant
Diamond,Farmer,Money
Cactus,Farmer,Prickly Pear
Farmer,Earthquake,Tractor
Star,Farmer,Moon
Fireworks,Farmer,Fireman
Electricity,Farmer,Scarecrow
Galaxy,Farmer,Alien
Fishing,Farmer,Fisherman
Honey,Farmer,Beekeeper
Iceberg,Farmer,Penguin
Farmer,Kiln,Potter
Farmer,Lunar,Moon
Mirage,Farmer,Oasis
Farmer,Rainbow,Leprechaun
Farmer,Paper,Money
Norway,Farmer,Viking
Farmer,Pyramid,Pharaoh
Pottery,Farmer,Vase
Sail,Farmer,Boat
Satellite,Farmer,GPS
Statue,Farmer,Sphinx
Seeds,Farmer,Plant
Steamboat,Farmer,Cotton
Farmer,Steampunk,Nothing
Farmer,Sushi,Fisherman
Tank,Farmer,Tractor
Vacuum,Farmer,Dust
Farmer,Wood,Plow
Wish,Farmer,Genie
Window,Farmer,Greenhouse
Yellowstone,Farmer,Old Faithful
Farmer,Airplane,Crop Duster
Alien,Farmer,Crop Circle
Alligator,Farmer,Crocodile
Amber,Farmer,Honey
Farmer,Wind Farm,Wind Turbine
Apple,Farmer,Cider
Beacon,Farmer,Lighthouse
Farmer,Barbecue,Bacon
Aquarium,Farmer,Fisherman
Farmer,Beer,Drunk
Bouquet,Farmer,Wedding
Farmer,Canyon,Crop
Campfire,Farmer,Marshmallow
Farmer,Bulldozer,Tractor
Broom,Farmer,Witch
Carnivorous Plant,Farmer,Venus Flytrap
Coconut,Farmer,Coconut Milk
Clean,Farmer,Tidy
Farmer,Cigar,Tobacco
Castle,Farmer,Peasant
Crystal,Farmer,Diamond
Dam,Farmer,Hydroponics
Farmer,Date,Tractor
Drunk,Farmer,Crop Circles
Fire Trap,Farmer,Fireman
Fan,Farmer,Windmill
Fence,Farmer,Farm
Fire Station,Farmer,Fireman
Flame,Farmer,Toast
Fireplace,Farmer,Smoke
Farmer,Genie,Aladdin
Flying Saucer,Farmer,Alien
Fairy,Farmer,Tinkerbell
Geysers,Farmer,Hot Springs
Farmer,Ghost,Scarecrow
Giant Venus Flytrap,Farmer,Venus Flytrap
Goldfish,Farmer,Aquaculture
Farmer,Hawaii,Pineapple
Farmer,Ice Cream,Milk
Hot Air Balloon,Farmer,Crop Duster
Farmer,Hay Fever,Sneeze
Holy Lake,Farmer,Moses
Honeycomb,Farmer,Beekeeper
Knife,Farmer,Butcher
Magnifying Glass,Farmer,Farmer
Farmer,Nile,Egypt
Farmer,Nessie,Loch Ness Monster
Match,Farmer,Firefighter
Nymph,Farmer,Satyr
Park,Farmer,Zoo
Pig,Farmer,Bacon
Farmer,Party,Wedding
Farmer,Popcorn,Movie
Poseidon,Farmer,Fisherman
Pollution,Farmer,Pesticide
Racecar,Farmer,Tractor
Pop,Farmer,Soda
Farmer,Rainforest,Jungle
Scent,Farmer,Perfume
Farmer,Shatter,Tornado
Sky,Farmer,Rain
Farmer,Smell,Manure
Snowstorm,Farmer,Snowman
Farmer,Space Plant,Alien
Farmer,Splash,Rain
Steam Turbine,Farmer,Electricity
Time,Farmer,Old
System,Farmer,Farming
Super Volcano,Farmer,Pompeii
Swamp Thing,Farmer,Swamp Farmer
Time Machine,Farmer,Caveman
Tomb,Farmer,Mummy
Town,Farmer,Market
UFO,Farmer,Alien
Farmer,Vampire,Dracula
Tumbleweed,Farmer,Cowboy
Vaporizer,Farmer,Weed
Viking,Farmer,Berserker
Farmer,Village,Town
Farmer,Vinegar,Pickle
Farmer,Weather,Rain
Winery,Farmer,Wine
