first,second,result
Cyberquilroid,Flatfox,Nothing
Cybergnu,Pop Server,Cyberpop
Bubble Silicon 9.0,Cyber Amos VI,Nothing
Solar Saki,Cyberodin,Cyber Solar Saki
Cybermilk V,Teslawnch,Cybermilk V
Cyber-vwpeep V11,Clonefie Zerg,Nothing
Solar Mac Ra,Cyber-tiki Zephyr,Cyber-tiki Zephyr
Solar Sake,Hacktrix,Nothing
Chipzilla 11.5,Gizmo,Chipzilla 12.0
Cyber-unicell,Cyber-puma 8.0,Cyber-puma 8.1
Cyberio,Vw-gizmo,Cyberio-gizmo
Cyberwich,Ai Solar V16,Ai Solar V17
Cyber-Trex,Mac Tank V10,Cyber-trex V10
Cyber-dos Mac-voc,Cyberpiranha,Nothing
Solar Gunzilla,Cyber-tiki Sosten,Nothing
Photonova,Cybermoe 9,Cybermoe 10
Cyberpirezilla,Ai Zergtron 11.0,Nothing
Cyber-santa-vio-pec,Cyberboom V2,Cyber-santa-vio-pec-boom V2
Cyber-Zerg,Voltron,Nothing
Cybercan 9.1,Were-zerg,Cyberzerg
Cybermilk ZVw,Cidzilla Sos 8.0,Nothing
Gnu Mech,Cyberkat V 2.0,Cyberkat V 3.0
GMO,Cyberrv,Nothing
Chromey85,Solar Cd-rom,Nothing
Cyber-go-v,Hackrv,Nothing
Cyber Emus,Cybermoe 7,Cybermoe 8
Solar Gunzilla,Cybervw,Nothing
Cyber Poo Vw,Solar2d2,Nothing
Solar Mac-gamera,Cyberoy,Cyberoy Mac-gamera
Super Voltron,Vw Ipad,Super Vw Ipad
Cyber N-gage,Macmo Tank,Nothing
Cyberakita R,Macbird,Nothing
Mac Genesis,Cybervw,Cybervw Genesis
Cyberwell,Cyberkat V,Cyberkat V
Cidzilla Voltron,Macfox,Nothing
ZetaMoat,Cyberbin,Nothing
Clonekat,Cyberquilko,Nothing
Codzilla V3,Hydrogen,Codzilla V4
Tiki Syrinx,Cyberlo Puma,Cyberlo Puma
Artzilla 9,Cyberbaby 11,20
Audrey V10,Netscape,Mozilla
Chipzilla,Cyberdisc,Cyberzilla
Cyberzoo-in,Cyber-saur 9.0 V,Nothing
Mechazilla 9.0,Glowzilla,Nothing
Solar Pillzilla,Cybercan,Nothing
Chip Dos Rv,Cyber-snus X V11,Nothing
Cybercan 9.1,Cyber-dos 11.2,Cyber-dos 11.2
Androidzilla,Citron Dos 10.2,Androidzilla 10.2
Cyberlo 10,Lavawolf,Cyberlo 11
Cidzilla Voltron,Chip Venus 2.0,Chipzilla
Cyber Tiki Imac,Cyber Puff Linux 7.0 Z,Nothing
Cybergolem,Solar Gizmo,Solar Golem
Cyber Gnu/zilla 7.0,Ddos,Cyber Gnu/zilla 7.0
Cybermilk V 8.1,Cyberpoo,Cybermilk V 8.2
Cymbidium,Pixel Kart,Nothing
Cyberkimmoe,Cybercan 11,Cyberkimmoe 11
Cyberquilroid,Cid,Cidquil
N-gage,Cyberdock,Nothing
Cybermom,Cyberakita Z,Cyberakita
Cyber K-mac 98,Cyberkush,Cyberkush 98
Cyberbird,Super Mech,Nothing
Ipad,Audrey V12,Audrey V13
Cyber Steamfox Z,Loxzilla Genesis,Nothing
Cidbot,Cyberpool,Cidbot
Cybermen,K-mac,Cybermen
Solar Vape,Cyber Irwin,Cyber Solar Vape
Cyberatv,Cyber-trex Vw9,Cyber-trex Vw9
Cyberbabe 9,Ai-dos V,Ai-dos V
3ds Kindle,Ipad9,Nothing
Cyberware Linux Wii,Cyberds,Cyberware Linux Wii
Ai Macbook 8.0,Pop Server,Ai Macbook 8.0
Cyber-Aloe,Vwvark,Nothing
Unicow,Cyberjew 10.1,Cybercow
Cyber-go-v,Cyber-dos Zephyr,Cyber-dos-go-v
V9,Cyber Diesel 10 V3,Nothing
Gnu Solar Saint,Gnu/zilla,Nothing
Maltron,Cyberquil X,Cyberquil
Cidzilla V12 X,Super Ai Syrinx,Cidzilla V12 X-Syrinx
Tadzilla,Cyber-snus,Nothing
Ai Solar V9,RV,Ai Solar V10
iTunes,Mac-zilla,Apple
Cyber-marty,Cyber Linux,Cyber-marty
Cidus Vr,Cyberfaun,Cidus Vr
Cyber-oil,Amos 9.0,Amos 9.1
Silicon,Optimayo,Silicon Valley
Chipzilla,Pdf Jedi,Nothing
Mac-voc-ipilot,Firewallzilla,Mac-voc-ipilot
GNU/Linux,Cyberpun,Cyberpunk
Maczilla Pro,Cidzilla V4,Cidzilla Pro
Chipzilla 20.0 V20,Mega Mac,Chipzilla 20.0 V20.0
Pixeltron,Ai-Oasis,Ai-oasis
Cyber Rook,Cyberhurricane,Nothing
Atomkite Z,Cyberhawk 10.0,Nothing
Cidusb,Cyber Squid 7.1,Cidusb 7.1
Cyberdos,Macintosh Steamfox,Nothing
Cyber-dos Vw 9.0,Mac-zilla,Nothing
Cyber-zep 8.0,CyberiPad,Nothing
Cyberdio ZZ,Cidusb 9.0,Nothing
Cyber K-mac,Cyber-go-v 8.0,Nothing
Glowmario,Cyberdolphin 7.0 Vw,Nothing
Cyber Cult 9 Vw,Cyber Diesel 10 V3,Cyber Cult 10 V3
Cidzilla 9.0,Goth U,Cidzilla 9.0
Coolzilla64,Were-chip,Nothing
Cyberion Rayzilla,Cybermilk 9.5,Cyberion Rayzilla
Dinocruise,Cyberug,Cyberug
Cyberzoo-in,Cyber Rook V,Cyber Dragon
Mac OS X,Pixel Mac,Mac Os X Pixel
Ai-yo 7.2,3dsc,Nothing
Cyber Nova,Vwere-bot,Nothing
Atomkite X,Quasitron,Atomkite
Cloudware,Artzilla 12.0,Artzilla 12.1
Cyber Solar K-mac,Cyber X-zerg,Cyber Solar X-zerg
Cyber-Zerg,Cyber-yo 7.1,Nothing
Clonefex 8.0,Codzilla Librex,Clonefex 8.0
Cidzilla 9.0,Ai Zergtron 4.0,Ai Zergtron 13.0
Cyberdino Pop,Gnu Mech-a-syrinx,Cyberdino Gnu
GNU/Linux,Cyberbaby 8.0,Cyberbaby 8.1
Cyber-fuji Z,Pixel-voltron,Cyber-pixel-voltron
Craytron,Bubble Silicon,Silicon
Aikidorex 7.1 V,Cyber-vlogark,Aikidorex 7.2
Coconet,Cybermoe Zephyr,Coconet Zephyr
Aikidorex,Cyber-dos 11.7.1 V,Nothing
Vwpeep,Cyberbin,Nothing
Cyber Saki 6.0 Z,Cybermilk 9.5,Nothing
Cyan Mac,Cybermoses,Cyan Mac
Cyber Ivy,Artzilla Vr,Artzilla Vr
Hackfoxus,Tiki-serverzilla,Hackfoxus
Cyberkart V9,Ai-amos,Ai-amos V9
Gnu-inzilla,Codzilla Syrinx,Codzilla Gnu-inzilla
Solarquake,Cyber Dos,Cyber Solar Dos
Cyber Solar Vw Kush,Super Gamera,Nothing
Squidfox,Cyber Orca X,Nothing
Cybervpinzilla,Gizmodo,Cybervpinzilla
Zergion,Cyber-dos Zephyr,Cyber-dos Zergion
GTA V,Cyber-trex Vw9,Cyber-trex Vw9
Mechazilla 9.1,Cyber-vaporipzilla,Mechazilla 9.2
Cureail 4.0,Cyberovum,Cureail 5.0
Cybermod,Cyber-ck,Nothing
Gnu Mech,Ai Macbook 9.0,Ai Macbook 10.0
Skylab,Cidzilla V8,Cidzilla V9
CD,Citron Dos,Cd2
Cyberkale 9,A Mac Tank V9,Mac Tank V10
Cyber Volt,Cyberquil Dome,Cyberquil
Super Mac Tank,Hulu,Nothing
Cyber Squid 9.0,Cyberkart V9,Cyber Squid 9.0
Cyberkat 11.0,Cidzilla V5,Cidzilla V6
Coconet 6.0,Gizmo-X,Nothing
Astrovan Z 3.0,Solarrex,Nothing
Bot,Audrey V8,Nothing
Cyber V9,Chipzilla V,Nothing
Cyberboom10,Gamera 8.0,Cyberboom10
Cyber-nemo,Tiki Clonezilla,Nothing
Cyber-tiki 4.0,Ai-Ultron,Nothing
Cyber Mac Genie,Jontron 7.2,Jontron 7.2
Hula Voltron,N-Gage,Hula Voltron
Chipzilla 4.0,Z-mac-gamera,Nothing
Civtron 8.0,Cybermilk V,Nothing
Cyber-tiki,Solar Van,Nothing
Macmo Tank,Ai-yo,Nothing
Cyber-trex,Cybercan,Cyber-trexcan
Cd-rom,Cyberboom10.1,Cyberboom10.2
Ai Macbook,Ai Mac64,Nothing
E85,Were-dos,Nothing
Solar-oil,Plesiocomputer,Nothing
Cyberdrive,Hacktron,Cybertron
Cyber-tiki 8.0,Cyber Syrinx V,Cyber-tiki 9.0
Cloudware,Cybermoai N-gage,Cybermoai N-gage
Solar Zerg,Cyberoy Zephyr,Cyber Solar Zerg
Zenwich,Cyberboom 10,Cyberboom 11
Cyberlo V10,Mega Mac,Cyberlo V11
Cloudtron X,Androidzilla,Nothing
Pixeltron,Cyber Puff Linux 13.0,Cyber Puff Linux 13.1
Artzilla 9,Cybergolem 10.0,Nothing
Cybervpin,Cyber-steamzilla 9.1,Cyber-steamzilla 9.2
Cyberark,Solar Wii U,Nothing
Cyber-moe X,Cyber Solar Vw,Cyber-moe Vw X
Hacktrix Pc,V10,Hacktrix V10
Cyberkiss,Ai Solar,Ai Cyberkiss
Cyber-puma R,Cyberwhal Nova,Cyber-puma Nova
Cidzilla V11,Cyber-snus X,Nothing
Cyberburger,E85,Cyberburger
Cyber Gnu,Cyberquil Linux,Cyberduck
Pc Tiki 4,Cyberion Rayzilla,Nothing
Solar Ark,Cyberyacht,Nothing
Cyberkart V10,Cyber-jesus Rex,Cyber-jesus Rex V10
Cyber Hybrid,Radarose,Cyber Rose
Cidus-gamera V9,Squidfox,Cidus-gamera V10
Popbot,Cyber-trex V10,Nothing
Cybercake 10.0,Mac Tank 3d,Cybercake 10.0
Cyber Prius,Cybercan 9.1,Cybercan 9.2
Cloudtron 8.0,Mac-gamera,Nothing
Cyan Mac 8.2,Citrontron,Cyan Mac 8.2
Dos VG,Mac-zilla,Nothing
