first,second,result
Superlily,Potassium,Superman
Swamp Shuttle,Hot,Hot Air Balloon
Elf,Nuclear,Atom
Clay,Were-fire,Were-clay
Crescent,Cup,Moon
Sea Dandelion,Crop Circle,Seaweed
Opera,Cactus,Saguaro
Tomato,Apple Bong,Ketchup
Swamp,Oasis Rover,Swamp Rover
Shard,Camp,Tent
Flying Truck,Resin,Flying Saucer
Time Tornado,Pill,Time Machine
Excavator,Algae,Oil
Weather,Chip,Rain
Minecart with TNT,China,Fireworks
Star Wars,Frisbee,Yoda
Boil,Locust,Soup
Kangaroo,Software,Kangaroo
Swamp Engine,Bitcoin,Cryptocurrency
Flat Lightning,Fire-osaurus,Fire-osaurus Rex
Shark Fin Soup,Pregnant,Baby Shark
Willow,Morning,Tree
Air Monster,Iron Storm,Tornado
Iron Horse,Tea,Iron Tea
Earth,Smoking Train,Volcano
Antelope,Spacex Shuttle,Rocket Deer
Palm,Watermelon,Pineapple
T-Shirt,Lollipop,Candy
Monet,Sinkhole,Money
Flatulence,Drunker,Flatulence
Birthstone,Flat Rock,Diamond
Spare,Tremendous,Sparemendous
Farm,Mashed Potato,Mashed Potato
Mime,Sandboarder,Sandman
Bonfire,Erupting Santa,Santa Claus
Electricity,T-Rex,Tesla
Mistank,Ammonite,Ammonite
Dine,Wonder,Restaurant
Sea Sick,Barbecue,Sushi
Perfume,Fata Morgana,Mermaid
Tree Hugger,Solar System,Earth
Mothership,Launch,Space
Drunken Bog,Pot of Gold,Leprechaun
Tunnel of Fudge,Smores,S’mores
Turkey,Space Buddha,Thanksgiving
Hyperloop,Cooking,Food Delivery
Diamond,Sultana,Ring
Ramp,Monster,Monster Truck
Cottonwood,Pint,Cider
Lava Ski,Bunker,Volcano
Frat Boy,Fire Hoop,Fire Breather
Mr. Potato Head,Wormhole,Mr. Wormhole Head
Maple Leaf,Lotus Flower,Tree
Fishing Boat,Ferris Wheel,Merry-Go-Round
Explosion,Goo,Slime
Sandboarding,Surfweed,Sandboarding
Margarita,Rabbit,Tequila
Were-Sponge,Drunken Dragon,Hangover
Dustpan,Lily,Dustbin
